question,model_answers
Label encoding:,Assigns integers to categories
Data leakage:,Test set info leaks into training
Stratified sampling:,Preserves class distribution in samples
Time series should be split:,"By time order, not randomly"
No Free Lunch theorem:,No single algorithm best for all problems
Occam's Razor in ML:,Prefer simpler models if they explain data well
Most interpretable algorithm:,Decision Tree
Early stopping:,Stops training when validation loss increases
Most popular traditional ML library in Python:,scikit-learn
fit() in scikit-learn:,Trains the model on data
predict() in scikit-learn:,Generates predictions on new data
score() in scikit-learn returns:,Accuracy (classifiers) or RÂ² (regressors)
What is the purpose of scikit-learn's Pipeline?,Chains preprocessing and model steps
A model with low training error but high test error is:,Overfitting
A model with high training AND test error is:,Underfitting
Which of these is a distance-based algorithm?,KNN
Which algorithm works best with high-dimensional sparse data?,Naive Bayes
What is the curse of dimensionality?,"As dimensions increase, data becomes sparse and distances less meaningful"
Ensemble methods combine models to:,Reduce bias AND variance compared to any single model
What does 'fit' mean in the context of a scikit-learn transformer?,Learns transformation parameters from training data
Python is:,"High-level, interpreted, general-purpose language"
Python's data type for ordered mutable collection:,list
Python's data type for ordered immutable collection:,tuple
Python's data type for unordered unique elements:,set
Python dictionary is:,Unordered key-value pairs (ordered insertion in Python 3.7+)
Output of type(42):,<class 'int'>
Output of type(3.14):,<class 'float'>
What is list comprehension?,Creates list using concise one-line expression
"Output of len([1,2,3,4]):",4
Keyword to define a function:,def
*args allows:,Variable number of positional arguments
**kwargs allows:,Variable number of keyword arguments
Lambda function is:,Anonymous single-expression function
map() does:,Applies function to each item in iterable
filter() does:,Returns elements where function returns True
Generator in Python:,Function that yields values one at a time
List vs Tuple key difference:,"Lists mutable, tuples immutable"
'with' statement:,"Manages context (e.g., file handling)"
Decorator in Python:,Function that modifies another function
GIL (Global Interpreter Lock):,Allows only one thread to run Python bytecode at a time
'pass' in Python:,Does nothing; placeholder
"Output of range(2,10,3):","range producing [2,5,8]"
Module for regular expressions:,re
os.path.join() does:,Safely joins file path components
pickle module does:,Serializes/deserializes Python objects
Virtual environment in Python:,Isolated Python environment with its own packages
__init__.py makes:,Directory into a Python package
'self' in a class:,Current instance of the class
__str__ method:,User-friendly string representation of object
Method overriding:,Subclass redefines parent class method
Multiple inheritance:,Class inherits from more than one parent
MRO (Method Resolution Order):,Order Python looks up methods in inheritance hierarchy
super() does:,Calls parent class method
Property in Python:,Manages attribute access via getter/setter methods
@staticmethod vs @classmethod:,staticmethod: no class/instance access; classmethod: gets class as first arg
Python garbage collection:,Reference counting + cyclic GC
itertools module:,Efficient iterators for looping
collections module:,Specialized container datatypes
namedtuple:,Immutable sequence with named fields
defaultdict:,Dict providing default values for missing keys
Counter in collections:,Counts occurrences of hashable items
json.dumps():,Converts Python object to JSON string
json.loads():,Parses JSON string to Python object
== vs 'is' in Python:,== checks value; 'is' checks identity
Shallow copy vs deep copy:,Shallow copies reference; deep copies all nested objects
from module import function:,Imports specific function from module
Output of 2**10:,1024
zip() does:,Combines two iterables element-wise
enumerate() does:,Adds index to iterable elements
append() vs extend():,append adds one item; extend adds multiple items
sorted() returns:,New sorted list
List slicing:,Extracts sub-list using indices
frozenset is:,Immutable version of set
Empty containers are:,Falsy in Python
assert does:,Tests condition; raises AssertionError if False
finally in try-except:,Runs regardless of exception
Context manager:,Object with __enter__ and __exit__ for resource management
any() does:,Returns True if any element is truthy
all() does:,Returns True only if all elements truthy
__len__ method:,Returns length of an object
@property decorator:,Accesses method like an attribute
Duck typing:,"If it behaves like a type, treat it as that type"
__slots__ in Python:,Restricts instance attributes to save memory
asyncio is for:,Writing async (non-blocking) I/O code
yield in a generator:,Pauses execution and returns value to caller
@classmethod receives:,cls as first argument (the class itself)
Monkey patching:,Dynamically modifying class/module at runtime
__call__ enables:,Calling object like a function
Memoization:,Caching expensive function results
@functools.lru_cache:,Memoization decorator
async/await is used for:,Asynchronous coroutines
__getitem__ enables:,Indexing with []
Type hinting:,Annotating variables/functions with expected types
dataclass decorator:,"Auto-generates __init__, __repr__, __eq__ etc."
Threads vs processes in Python:,Threads share memory; processes have separate memory
multiprocessing bypasses GIL because:,Each process has its own Python interpreter
__hash__ controls:,Whether object can be used as dict key or set element
functools.partial:,Pre-fills some arguments of a function creating new function
Walrus operator (:=):,Assigns value within an expression
f-string example:,f'Hello {name}'
str.split() returns:,A list of substrings
NumPy primary use:,Numerical computing with multi-dimensional arrays
pandas primary use:,Data manipulation and analysis with DataFrames
matplotlib primary use:,Data visualization
pd.read_csv():,Reads CSV file into a DataFrame
df.head():,Shows first 5 rows of DataFrame
df.dropna():,Removes rows with missing values
df.fillna(value):,Fills missing values with specified value
Vectorized NumPy operation:,Applied element-wise without explicit loops
np.array vs list:,np.array supports vectorized math; list is general-purpose
How to install packages in Python:,pip install package_name
What is pip?,Package installer for Python
What is a Python module?,A .py file containing reusable code
What is a Python package?,A directory of modules with __init__.py
str() function:,Converts object to string
int() function:,Converts to integer
What is the output of bool(0)?,FALSE
What is the output of bool([]):,FALSE
in operator with sets is O(?):,O(1) average
"In Python 3, / operator does:",True division (returns float)
// operator in Python:,Floor division
% operator in Python:,Modulo (remainder)
What is a neural network?,Layers of interconnected neurons that learn representations
What is the hidden layer?,Layer between input and output learning representations
What is backpropagation?,Algorithm computing gradients via chain rule
What is an epoch?,One complete pass through the training dataset
Purpose of activation functions:,Introduce non-linearity
Vanishing gradient problem:,Gradients too small in early layers
Exploding gradient problem:,Gradients become very large causing unstable updates
Gradient clipping:,Limits gradient magnitude to prevent exploding gradients
ReLU: f(x) = ?,"max(0, x)"
Leaky ReLU:,ReLU with small slope for negative inputs
Sigmoid range:,"(0, 1)"
Tanh range:,"(-1, 1)"
Why Sigmoid not preferred in hidden layers:,Causes vanishing gradients
Batch Normalization:,Normalizes activations within a batch to stabilize training
Layer Normalization:,Normalizes across features for one sample (Transformers)
CNN is:,Network using convolutional layers to extract spatial features
Convolutional layer:,Applies filters to detect local patterns
Pooling layer:,Reduces spatial dimensions (downsampling)
Max Pooling:,Takes maximum value in pooling window
Stride in convolution:,Number of pixels filter moves per step
Padding in CNN:,Adding zeros to control output spatial size
RNN:,Network with loops to process sequential data
Vanishing gradient in RNNs:,Gradients decay through many time steps
LSTM:,RNN variant with gates to control long-range information
LSTM gates:,"Input, Forget, and Output gates"
GRU vs LSTM:,GRU has fewer gates (reset and update) â€” simpler
Autoencoder:,Compresses input to lower-dimensional representation and reconstructs
Autoencoder bottleneck:,Compressed lower-dimensional representation
VAE (Variational Autoencoder):,Generative model with probabilistic latent space
GAN (Generative Adversarial Network):,Generator creates fakes; Discriminator distinguishes real/fake
Mode collapse in GANs:,Generator produces only a few output types
Transformer model:,Attention-based architecture processing tokens in parallel
Self-attention:,Each token attends to all other tokens
BERT:,Bidirectional Encoder Representations from Transformers
GPT:,Generative Pre-trained Transformer for text generation
Fine-tuning:,Adapting pre-trained model to specific task
Xavier/Glorot init:,For Sigmoid/Tanh â€” keeps activation variance stable
He init:,For ReLU activations â€” keeps variance stable
ResNet's key innovation:,Residual (skip) connections enabling very deep networks
Skip connections:,Add input to layer output to prevent vanishing gradients
Softmax output layer:,Converts logits to probability distribution over classes
Dense (fully connected) layer:,Every neuron connected to every previous neuron
Embedding layer:,Maps discrete tokens to dense continuous vectors
Positional encoding in Transformers:,Adds position info since attention is permutation-invariant
Multi-head attention:,Parallel attention heads with different projections
Seq2Seq model:,Encoder encodes input; Decoder generates output
Beam search:,Keeps top-k sequences at each generation step
Object detection vs classification:,Detection localizes + classifies multiple objects
Semantic segmentation:,Labels every pixel with a class
Instance segmentation:,Detects and segments each instance separately
Siamese network:,Twin networks comparing inputs for similarity
Attention mechanism advantage:,Models dependencies regardless of distance
ResNet-50 has approximately:,50 layers
What is depthwise separable convolution?,Splits into depthwise + pointwise steps for efficiency
Dilated (atrous) convolution:,Gaps in kernel to increase receptive field
Transposed convolution:,"Upsamples feature maps (used in decoders, GANs)"
U-Net architecture:,Encoder-decoder with skip connections for segmentation
Word2Vec:,Learns word embeddings from co-occurrence contexts
CBOW vs Skip-gram:,CBOW predicts word from context; Skip-gram predicts context from word
GloVe:,Word embeddings from global word co-occurrence statistics
FastText vs Word2Vec:,FastText uses subword (character n-gram) information
BLEU score:,Measures machine translation quality vs reference
What is a language model's perplexity?,Measures how well model predicts sequences (lower = better)
Reinforcement learning from human feedback (RLHF):,Fine-tuning LLMs using human preference judgments
What is dropout rate of 0.5?,50% of neurons randomly deactivated during training
Batch size effect: smaller batch â†’ ?,Noisier gradient updates; can escape local minima
Learning rate too high â†’ ?,Model diverges; loss increases or oscillates
Learning rate too low â†’ ?,Very slow convergence; may get stuck in local minima
Adam optimizer combines:,Momentum + RMSprop (adaptive learning rates + momentum)
What is momentum in optimization?,Accumulates past gradients to accelerate relevant directions
RMSprop adapts:,Learning rate based on moving average of squared gradients
What is weight decay?,L2 regularization added to optimizer
What is label smoothing?,Replaces hard 0/1 targets with soft values to reduce overconfidence
What is CutMix augmentation?,Mixes patches from two images with corresponding label blending
What is Mixup augmentation?,Linear interpolation between two training examples
What is knowledge distillation?,Training smaller student using larger teacher's outputs
Model pruning:,Removing less important weights to compress model
Model quantization:,Reducing weight precision (float32 â†’ int8) for efficiency
What is a 1Ã—1 convolution?,Convolves across channels; used for channel reduction
Global Average Pooling (GAP):,Averages entire feature map to one value per channel
What is the receptive field in CNNs?,Region in input space that influences a particular output neuron
What is a hypercolumn in CNNs?,Concatenation of feature maps at different layers for a pixel
What is attention pooling?,Weighted aggregation of feature vectors using attention scores
What is ViT (Vision Transformer)?,Applies Transformer to image patches directly
What is a prompt in LLMs?,Input text guiding the model's response generation
What is in-context learning?,LLM learns task from examples in the prompt without fine-tuning
What is chain-of-thought prompting?,Asking model to show step-by-step reasoning
What is RAG (Retrieval-Augmented Generation)?,Augmenting LLM with retrieved relevant documents at inference
What is a hallucination in LLMs?,Model generates confident but factually incorrect information
EfficientNet scales:,"Width, depth, and resolution uniformly"
What is a Swin Transformer?,Transformer with shifted windows for efficient image processing
What is CLIP?,Model learning visual-semantic embeddings from image-text pairs
What is DALL-E?,Diffusion/transformer model generating images from text descriptions
Diffusion models generate images by:,Iteratively denoising a random noise image
What is cross-entropy loss for binary classification?,âˆ’[y log(p) + (1âˆ’y) log(1âˆ’p)]
Linear Regression models:,Relationship between input and continuous output as linear function
Logistic Regression is used for:,Classification (binary or multiclass)
Decision Tree splits on:,Feature that maximizes information gain or minimizes Gini impurity
Gini impurity measures:,Probability of misclassification in a node
Entropy in decision trees measures:,Disorder/impurity of a node
Information Gain = ?,Entropy(parent) âˆ’ weighted average entropy(children)
Random Forest is:,Ensemble of decision trees trained on bootstrapped samples
Number of trees in Random Forest:,"Hyperparameter (more = more stable, diminishing returns)"
Gradient Boosting trains trees:,"Sequentially, each correcting residuals of previous"
AdaBoost weights:,Misclassified samples get higher weights
XGBoost improvement over vanilla GBM:,"Regularization, parallel processing, missing value handling"
LightGBM's main advantage:,Faster training via leaf-wise tree growth on large datasets
CatBoost's specialty:,Native handling of categorical features without preprocessing
SVM's decision function:,Sign of wÂ·x + b
Hard margin SVM:,Requires data to be linearly separable with no violations
Soft margin SVM:,Allows some misclassification with penalty parameter C
Larger C in SVM:,Less tolerance for misclassification (narrower margin)
RBF kernel in SVM:,Maps to infinite-dimensional feature space; good for non-linear data
KNN algorithm steps:,"Calculate distances, find K nearest, take majority vote"
KNN for regression:,Average of K nearest neighbors' values
Naive Bayes types:,"Gaussian, Multinomial, Bernoulli"
Gaussian Naive Bayes assumes:,Features follow Gaussian distribution
Multinomial Naive Bayes is used for:,Text classification (word counts/frequencies)
Linear Discriminant Analysis (LDA):,Supervised dimensionality reduction maximizing class separability
Quadratic Discriminant Analysis (QDA) vs LDA:,QDA allows class-specific covariance matrices
Nearest Centroid classifier:,Assigns class of nearest centroid
Perceptron model:,Binary classifier using linear decision boundary + threshold
Multi-layer Perceptron (MLP):,Fully connected neural network with multiple hidden layers
Linear SVM vs Logistic Regression:,SVM maximizes margin; LR maximizes likelihood
What is Elastic Net regression?,Combines L1 (Lasso) and L2 (Ridge) penalties
Ridge Regression prevents:,Overfitting by shrinking large coefficients (not to zero)
Lasso Regression:,Can set coefficients exactly to zero (feature selection)
Principal Component Regression (PCR):,Performs regression on PCA components
Partial Least Squares (PLS):,Finds components that maximize covariance with both X and Y
Gaussian Process regression:,Non-parametric Bayesian model providing predictions with uncertainty
Bayesian Ridge Regression:,Places prior on coefficients; fully Bayesian regularization
Isotonic Regression:,Fits non-decreasing (monotone) piecewise constant function
Huber loss function:,"Less sensitive to outliers than MSE; quadratic for small, linear for large errors"
Hinge loss is used in:,SVM classification
Focal loss addresses:,Class imbalance in object detection by down-weighting easy examples
Triplet loss is used in:,Metric learning / face recognition
Contrastive loss:,"Minimizes distance for similar pairs, maximizes for dissimilar"
What is a mixture of experts (MoE)?,Ensemble where a gating network selects which expert(s) process input
What is a random subspace method?,Random selection of feature subsets for each base learner
What is Extra Trees (Extremely Randomized Trees)?,Like Random Forest but uses random splits (not optimal)
What is a voting classifier?,Combines predictions by majority vote or average probabilities
Hard voting in ensemble:,Majority class label from classifiers
Soft voting in ensemble:,Average class probabilities across classifiers
What is One-vs-Rest (OvR) strategy?,Binary classifier trained for each class vs all others
What is One-vs-One (OvO)?,Binary classifier for each pair of classes
Calibrated classifier in scikit-learn:,Produces well-calibrated probability outputs
What is Platt scaling?,Logistic regression on top of SVM scores for calibration
Linear regression assumptions include:,"Linearity, normality of residuals, homoscedasticity, independence"
Homoscedasticity means:,Constant variance of residuals across all levels of predictors
Heteroscedasticity:,Non-constant variance of residuals
What is the coefficient of determination?,RÂ² â€” proportion of variance explained by the model
Adjusted RÂ²:,RÂ² penalized for number of predictors (better for multiple regression)
VIF (Variance Inflation Factor) measures:,Multicollinearity between predictor variables
Multicollinearity problem:,Correlated predictors make individual coefficients unstable
What is interaction term in regression?,Product of two features capturing their combined effect
Polynomial regression:,Linear regression with polynomial features added
What is the bias term in linear regression?,Intercept (Î²â‚€) â€” value when all features are zero
What is ordinary least squares (OLS)?,Minimizes sum of squared residuals to fit linear model
What is maximum likelihood estimation (MLE)?,Finds parameters maximizing probability of observed data
MAP estimation vs MLE:,MAP incorporates a prior distribution over parameters
Expectation-Maximization (EM) algorithm:,Iteratively estimates parameters with latent variables
Gaussian Mixture Model (GMM):,Probabilistic model assuming data from mixture of Gaussians
What is Hidden Markov Model (HMM)?,Probabilistic model for sequential data with hidden states
What is Conditional Random Field (CRF)?,Discriminative sequence labeling model used in NLP
What is the Viterbi algorithm?,Dynamic programming for finding most probable state sequence in HMM
Random Forest feature importance method:,Mean decrease in impurity or permutation importance
What is out-of-bag (OOB) evaluation in Random Forest?,Using samples not in bootstrap sample to evaluate each tree
What are support vectors in SVM?,Training points closest to the decision boundary
What is the margin in SVM?,Distance between decision boundary and nearest support vectors
AdaBoost final prediction:,Weighted majority vote of weak classifiers
"In gradient boosting, learning rate shrinks:",Contribution of each tree to reduce overfitting
XGBoost regularization terms:,L1 (Î±) and L2 (Î») on leaf weights + minimum loss reduction (Î³)
What is feature bagging in Random Forest?,Each split considers random subset of features (âˆšn features)
What is max_depth in Decision Tree?,Maximum number of levels in the tree
min_samples_split in Decision Tree:,Minimum samples required to split an internal node
What is pruning in Decision Trees?,Removing subtrees that don't improve generalization
Cost Complexity Pruning (ccp_alpha):,Adds complexity penalty; larger alpha = simpler tree
What is a decision stump?,Decision tree with only one split (depth=1)
Class weight in classifiers:,Adjusts importance of each class to handle imbalance
What is SMOTE?,Synthetic Minority Oversampling: creates synthetic minority samples
What is undersampling?,Removing majority class samples to balance dataset
Oversampling vs undersampling:,Oversampling adds minority; undersampling removes majority
What is threshold tuning?,Adjusting classification threshold (default 0.5) to trade off precision/recall
What is calibration in probabilistic classifiers?,Ensuring predicted probabilities match empirical frequencies
What is a surrogate model in optimization?,Approximate model used in place of expensive true model
What is AutoML's role?,"Automates model selection, feature engineering, and hyperparameter tuning"
What is Neural Architecture Search (NAS)?,Automated discovery of optimal neural network architectures
What is Artificial Intelligence?,Computer science field creating systems that simulate human intelligence
AI vs ML vs Deep Learning relationship:,DL âŠ‚ ML âŠ‚ AI (DL is subset of ML which is subset of AI)
What is the Turing Test?,Test of machine's ability to exhibit intelligent behavior indistinguishable from human
What is narrow AI?,AI that excels at ONE specific task
What is General AI (AGI)?,Hypothetical AI with human-level intelligence across all tasks
What is expert system?,Rule-based AI system encoding domain expert knowledge
What is a knowledge base?,Repository of facts and rules used by expert systems and AI
What is the difference between inductive and deductive reasoning?,Inductive: specificâ†’general; Deductive: generalâ†’specific
What is the Bayes theorem?,P(A|B) = P(B|A)Ã—P(A)/P(B)
Prior probability in Bayesian inference:,Belief about parameter before observing data
Posterior probability:,Updated belief after incorporating observed data
What is the law of large numbers?,"As sample size increases, sample mean converges to true mean"
What is Central Limit Theorem?,Sum/mean of many independent random variables approximates normal distribution
What is a p-value?,Probability of observing results at least as extreme assuming null hypothesis is true
Statistical significance level Î±:,Threshold below which we reject null hypothesis (commonly 0.05)
Type I error (False Positive) in hypothesis testing:,Rejecting true null hypothesis
Type II error (False Negative):,Failing to reject false null hypothesis
Statistical power:,Probability of correctly rejecting a false null hypothesis
What is effect size?,"Magnitude of difference between groups, independent of sample size"
A/B test measures:,Difference in outcomes between two variants
What is correlation?,Statistical measure of linear relationship between two variables
Pearson correlation ranges:,"[-1, 1]"
Correlation â‰  causation means:,Two correlated variables don't necessarily have causal relationship
What is covariance?,Measure of joint variability of two variables
What is standard deviation?,Square root of variance; measure of spread
What is a null hypothesis?,Statement of no effect or no difference being tested
What is statistical inference?,Drawing conclusions about populations from sample data
What is random variable?,Variable whose value is determined by random process
Discrete vs continuous random variable:,Discrete: countable values; Continuous: any value in range
Expected value E[X]:,Weighted average of all possible values
Variance Var[X]:,E[(X-Î¼)Â²] â€” expected squared deviation from mean
What is the normal distribution?,Bell-shaped symmetric distribution defined by mean and std dev
What is the binomial distribution?,Distribution of number of successes in n independent Bernoulli trials
What is the Poisson distribution?,Distribution of number of events in fixed interval when events are rare
What is the uniform distribution?,All outcomes equally likely
What is a confidence interval?,Range likely containing true parameter value at given confidence level
95% confidence interval means:,"If experiment repeated many times, 95% of CIs would contain true value"
What is Simpson's paradox?,Trend appears in groups but reverses when groups combined
What is survivorship bias?,Focusing on survivors/successes while ignoring failures
What is selection bias in ML?,Training data not representative of deployment population
What is sampling bias?,Sample not randomly selected leading to unrepresentative data
What is the curse of dimensionality?,"As dimensions increase, data becomes sparse and distance less meaningful"
What is feature importance vs feature selection?,Importance ranks features; selection chooses subset to keep
What is mutual information?,Measures statistical dependence between two variables
What is entropy in information theory?,Measure of uncertainty or information content
What is KL divergence?,Measures how one probability distribution differs from another
What is the law of total probability?,P(B) = Î£ P(B|Aáµ¢)P(Aáµ¢) summed over all Aáµ¢
What is Occam's Razor?,Simpler explanation preferred over complex when both fit the data
What is the train-test gap?,Difference between training and test performance (large gap = overfitting)
What is model complexity?,Capacity of model to fit complex patterns (related to parameters)
What is capacity in ML?,Model's ability to fit a wide variety of functions
What is inductive bias?,Assumptions made by algorithm to generalize beyond training data
What is frequentist vs Bayesian statistics?,Frequentist uses long-run frequencies; Bayesian uses prior beliefs + data
What is a statistical model?,Mathematical description of data-generating process
What is the likelihood function?,P(data | parameters) â€” probability of data given parameter values
What is a sufficient statistic?,Contains all information about parameter that data has
What is a point estimate?,Single value estimate of population parameter
What is method of moments estimation?,Equates sample moments to population moments to estimate parameters
What is leave-one-out cross-validation (LOOCV)?,Each sample used once as test; rest as train
What is bootstrap aggregating (bagging)?,Training models on bootstrapped samples and aggregating
What is bootstrapping statistically?,Resampling with replacement from dataset to estimate statistics
Monte Carlo simulation:,Using random sampling to estimate numerical results
What is Markov property?,"Future state depends only on current state, not history"
What is a Markov chain?,Sequence of states where each depends only on previous state
What is stationarity in time series?,"Statistical properties (mean, variance) constant over time"
Autocorrelation in time series:,Correlation of a series with its own lagged values
What is seasonality?,Periodic fluctuations recurring at regular intervals
What is trend in time series?,Long-term increase or decrease in the data
ARIMA stands for:,AutoRegressive Integrated Moving Average
What is the AR component of ARIMA?,Uses past values to predict future values
What is the MA component of ARIMA?,Uses past forecast errors to improve predictions
What is the I component of ARIMA?,Number of differencing operations to make series stationary
What is LSTM's advantage for time series?,Can capture long-range dependencies better than vanilla RNN
What is a stationary time series?,"Mean, variance, and covariance are constant over time"
What is augmented Dickey-Fuller test?,Tests for presence of unit root (non-stationarity) in time series
What is differencing in time series?,Subtracting previous observation to remove trend/make stationary
What is the Box-Jenkins methodology?,Identify â†’ Estimate â†’ Diagnose ARIMA model steps
What is cross-spectral analysis?,Analyzing relationship between two time series in frequency domain
What is forecasting horizon?,Number of future time steps being predicted
What is multi-step forecasting?,Predicting multiple future time steps
What is nowcasting?,Predicting present or very near future using current data
What is anomaly detection?,Identifying data points significantly different from the norm
What is a statistical process control (SPC)?,Using statistical methods to monitor and control a process
What is the Bonferroni correction?,Adjusting significance threshold when making multiple comparisons
What is the chi-square test?,Tests independence between categorical variables
What is ANOVA?,Analysis of Variance â€” tests mean differences across 3+ groups
What is t-test?,Tests mean difference between two groups
What is Mann-Whitney U test?,Non-parametric test comparing two independent groups
What is Kolmogorov-Smirnov test?,Tests if samples come from same distribution or a specified one
What is statistical learning theory?,Theoretical framework studying conditions under which learning is possible
What is PAC learning?,Probably Approximately Correct â€” framework for learnability
What is VC dimension?,Measure of model complexity â€” maximum number of points it can shatter
What is structural risk minimization?,Balancing empirical risk and model complexity (VC theory)
What is data preprocessing?,"Transforming raw data into clean, usable format for ML"
What is missing value imputation?,Replacing missing values with estimated values
Mean imputation:,Replace missing values with feature mean
Median imputation preferred when:,Data has significant outliers
Mode imputation is for:,Categorical features
KNN imputation:,Replaces missing with weighted average of K nearest neighbors
Multiple Imputation:,Creates multiple imputed datasets and combines results for statistical validity
MCAR (Missing Completely at Random):,Missingness unrelated to observed or unobserved data
MAR (Missing at Random):,Missingness related to observed but not missing data itself
MNAR (Missing Not at Random):,Missingness related to the missing value itself
What is outlier detection?,Identifying data points far from the majority distribution
IQR method for outliers:,Points below Q1âˆ’1.5Ã—IQR or above Q3+1.5Ã—IQR are outliers
Z-score method for outliers:,Points with |z-score| > 3 typically considered outliers
Isolation Forest detects outliers by:,Isolating anomalies by randomly partitioning features
Local Outlier Factor (LOF):,Compares local density of point to its neighbors
What is feature scaling?,Transforming numerical features to similar range
Min-Max normalization formula:,(x âˆ’ min)/(max âˆ’ min)
Z-score standardization formula:,(x âˆ’ Î¼)/Ïƒ
MaxAbsScaler:,"Scales each feature by its maximum absolute value to [-1, 1]"
RobustScaler:,"Uses median and IQR, robust to outliers"
When to use StandardScaler:,When features are normally distributed and outliers not extreme
When to use RobustScaler:,When data has significant outliers
"Tree-based models (RF, XGBoost) require feature scaling?",No â€” they are scale invariant
What is Label Encoding?,"Assigns integer values (0, 1, 2...) to categories"
Issue with Label Encoding for nominal categories:,Implies ordinal relationship that doesn't exist
One-hot encoding creates:,Binary column for each category
Issue with one-hot encoding for high-cardinality:,Dimensionality explosion
Target encoding:,Replaces category with mean of target for that category
Target encoding risk:,Data leakage if done before train-test split
Frequency encoding:,Replaces category with its frequency (count) in the dataset
Binary encoding:,Encodes categories as binary (base-2) integers â€” reduces dimensions vs one-hot
Hashing encoding:,Maps categories to fixed-length binary vector using hash function
What is Ordinal Encoding?,Encodes ordered categories preserving their relative order
What is the difference between Ordinal and Label Encoding?,Ordinal preserves meaningful order; Label assigns arbitrary integers
What is dimensionality reduction in preprocessing?,Reducing number of features while preserving information
What is feature selection vs extraction?,Selection keeps existing features; extraction creates new ones
Wrapper methods for feature selection:,"Train model on feature subsets; evaluate performance (e.g., RFE)"
Filter methods for feature selection:,Use statistical measures independent of any model
Embedded methods for feature selection:,"Feature selection during model training (e.g., Lasso, tree importance)"
Recursive Feature Elimination (RFE):,Iteratively removes least important features based on model weights
What is VIF and why it's used in preprocessing?,Detects multicollinearity; remove features with high VIF (>5 or 10)
What is PCA in preprocessing context?,Transforms features to uncorrelated principal components
What is log transformation used for?,Reducing skewness in right-skewed distributions
Box-Cox transformation:,Power transformation to make distribution more normal
Yeo-Johnson transformation:,Like Box-Cox but handles zero and negative values
What is binarization?,Converting numerical features to 0/1 based on threshold
What is discretization (binning)?,Converting continuous features into categorical intervals
Equal-width binning:,Divides range into bins of equal width
Equal-frequency binning (quantile):,Each bin has roughly equal number of samples
What is feature interaction?,Capturing combined effect of two or more features
Polynomial features:,Creates interaction terms and higher-degree features
What is data augmentation?,Creating new training samples by transforming existing ones
